studentId,marks
1,81
2,44
3,55
4,77
5,78
6,77
7,57
8,46
9,63
10,43
11,77
12,88
13,30
14,81
15,31
16,72
17,66
18,45
19,94
20,79
21,57
22,34
23,100
24,78
25,85
26,54
27,49
28,63
29,58
30,89
31,52
32,59
33,43
34,89
35,52
36,69
37,98
38,31
39,73
40,73
41,59
42,56
43,62
44,59
45,32
46,39
47,76
48,93
49,65
50,57
51,88
52,39
53,46
54,56
55,41
56,57
57,68
58,34
59,66
60,50
61,33
62,95
63,39
64,72
65,68
66,49
67,93
68,79
69,95
70,50
71,42
72,78
73,71
74,62
75,87
76,50
77,47
78,84
79,41
80,63
81,89
82,98
83,67
84,89
85,46
86,82
87,95
88,58
89,99
90,78
91,86
92,85
93,97
94,80
95,80
96,87
97,70
98,46
99,47
100,61
